날짜,종가,오픈,고가,저가,거래량,변동 %
2021/11/12,80.72,81.36,81.59,79.8,-,-1.07%
2021/11/11,81.59,81.41,82.33,80.2,-,0.31%
2021/11/10,81.34,84.53,84.97,80.81,555.22K,-3.34%
2021/11/9,84.15,82.16,84.63,81.78,504.83K,2.71%
2021/11/8,81.93,81.13,82.67,81.05,393.95K,0.81%
2021/11/5,81.27,79.37,81.8,78.96,531.05K,3.12%
2021/11/4,78.81,80.18,83.42,78.25,701.12K,-2.54%
2021/11/3,80.86,83.07,83.08,79.69,546.58K,-3.63%
2021/11/2,83.91,83.87,84.41,82.92,429.61K,-0.17%
2021/11/1,84.05,83.36,84.88,82.74,412.31K,0.57%
2021/10/29,83.57,83.09,83.74,81.41,507.31K,0.92%
2021/10/28,82.81,82.25,83.21,80.58,491.59K,0.18%
2021/10/27,82.66,84.39,84.51,82.01,529.95K,-2.35%
2021/10/26,84.65,83.72,84.88,82.97,467.72K,1.06%
2021/10/25,83.76,83.98,85.41,83.39,568.73K,0.00%
2021/10/22,83.76,82.61,84.22,81.76,465.36K,1.53%
2021/10/21,82.5,83.58,83.96,80.79,567.50K,-1.63%
2021/10/20,83.87,83.34,84.25,81.3,25.72K,1.10%
2021/10/19,82.96,82.37,83.74,81.8,82.61K,0.63%
2021/10/18,82.44,82.6,83.87,81.84,134.10K,0.19%
2021/10/15,82.28,81.48,82.66,81.39,277.95K,1.19%
2021/10/14,81.31,80.59,81.68,80.38,399.81K,1.08%
2021/10/13,80.44,80.58,81.04,79.42,487.22K,-0.25%
2021/10/12,80.64,80.5,81.62,79.47,598.18K,0.15%
2021/10/11,80.52,79.59,82.18,79.55,653.76K,1.47%
2021/10/8,79.35,78.86,80.11,78.63,662.01K,1.34%
2021/10/7,78.3,77,78.89,74.96,545.01K,1.12%
2021/10/6,77.43,79.04,79.78,76.83,459.06K,-1.90%
2021/10/5,78.93,78.86,80.11,78.63,449.62K,1.69%
2021/10/4,77.62,75.9,78.38,75.32,458.01K,2.29%
2021/10/1,75.88,75.12,75.99,74.23,389.00K,1.13%
2021/9/30,75.03,74.78,76.07,73.14,583.19K,0.27%
2021/9/29,74.83,74.38,75.79,73.74,424.19K,-0.61%
2021/9/28,75.29,75.43,76.67,74.24,476.14K,-0.21%
2021/9/27,75.45,74.19,75.75,74.16,417.83K,1.99%
2021/9/24,73.98,73.24,74.27,72.81,350.38K,0.93%
2021/9/23,73.3,71.97,73.5,71.61,403.41K,1.48%
2021/9/22,72.23,70.85,72.3,70.64,381.06K,2.37%
2021/9/21,70.56,70.59,71.63,69.67,37.61K,0.38%
2021/9/20,70.29,71.92,72.08,69.86,75.84K,-2.33%
2021/9/17,71.97,72.62,72.72,71.21,119.93K,-0.88%
2021/9/16,72.61,72.65,72.99,71.53,298.41K,0.00%
2021/9/15,72.61,70.76,73.14,70.65,418.67K,3.05%
2021/9/14,70.46,70.64,71.22,69.98,414.23K,0.01%
2021/9/13,70.45,69.74,70.97,69.51,390.94K,1.05%
2021/9/10,69.72,67.97,69.96,67.68,411.08K,2.32%
2021/9/9,68.14,69.36,69.89,67.56,556.45K,-1.67%
2021/9/8,69.3,68.37,69.75,68.31,389.33K,1.39%
2021/9/7,68.35,69.11,69.48,67.64,481.70K,-0.65%
2021/9/6,68.8,68.75,69.47,68.27,-,0.07%
2021/9/5,68.75,69.22,69.23,68.73,-,-0.78%
2021/9/3,69.29,69.76,70.53,69.05,313.09K,-1.00%
2021/9/2,69.99,68.29,70.61,67.84,403.31K,2.04%
2021/9/1,68.59,68.55,69.24,67.12,399.50K,0.13%
2021/8/31,68.5,69.18,69.34,68.16,325.85K,-1.03%
2021/8/30,69.21,69.3,69.64,67.67,360.80K,0.68%
2021/8/27,68.74,67.75,69.05,67.52,326.06K,1.96%
2021/8/26,67.42,68,68.31,67.02,344.29K,-1.38%
2021/8/25,68.36,67.63,68.54,66.92,353.74K,1.21%
2021/8/24,67.54,65.54,67.8,65.41,335.89K,2.89%
2021/8/23,65.64,61.96,66,61.74,397.29K,5.33%
2021/8/20,62.32,64.05,64.1,62.11,24.63K,-2.15%
2021/8/19,63.69,64.58,64.76,62.63,88.24K,-2.70%
2021/8/18,65.46,66.58,67.48,64.34,121.20K,-1.70%
2021/8/17,66.59,67.43,67.72,66.33,235.30K,-1.04%
2021/8/16,67.29,67.71,68.27,65.73,334.84K,-1.68%
2021/8/13,68.44,68.91,69.22,67.77,272.03K,-0.94%
2021/8/12,69.09,69.36,69.62,68.46,352.47K,-0.23%
2021/8/11,69.25,68.51,69.45,66.67,513.29K,1.41%
2021/8/10,68.29,66.85,68.9,66.56,452.13K,2.72%
2021/8/9,66.48,67.88,67.9,65.15,598.38K,-2.64%
2021/8/6,68.28,69.14,70.18,67.8,537.14K,-1.17%
2021/8/5,69.09,68.06,69.35,67.61,416.33K,1.38%
2021/8/4,68.15,70.32,70.81,67.85,582.92K,-3.42%
2021/8/3,70.56,71.52,71.96,69.19,509.94K,-0.98%
2021/8/2,71.26,73.91,73.95,70.55,448.20K,-3.64%
2021/7/30,73.95,73.41,74.23,72.93,303.70K,0.45%
2021/7/29,73.62,72.4,73.68,72.26,294.46K,1.70%
2021/7/28,72.39,71.9,72.6,71.7,318.91K,1.03%
2021/7/27,71.65,72.22,72.33,71.08,333.12K,-0.36%
2021/7/26,71.91,72.18,72.43,70.56,395.74K,-0.22%
2021/7/23,72.07,71.71,72.21,71.39,274.78K,0.22%
2021/7/22,71.91,70.22,72.03,69.86,435.18K,2.29%
2021/7/21,70.3,66.45,70.51,66.44,503.03K,4.27%
2021/7/20,67.42,66.6,67.65,65.21,29.74K,1.51%
2021/7/19,66.42,71.49,71.67,65.63,82.57K,-7.51%
2021/7/16,71.81,71.48,72.3,70.41,133.93K,0.22%
2021/7/15,71.65,72.96,72.96,71.4,368.68K,-2.02%
2021/7/14,73.13,75.17,75.44,72.21,528.36K,-2.82%
2021/7/13,75.25,74.18,75.52,73.68,444.08K,1.55%
2021/7/12,74.1,74.74,74.93,73.16,397.93K,-0.62%
2021/7/9,74.56,73.26,74.76,72.72,422.15K,2.22%
2021/7/8,72.94,72.17,73.26,70.76,529.69K,1.02%
2021/7/7,72.2,73.85,74.86,71.07,607.97K,-1.59%
2021/7/6,73.37,75.35,76.98,72.94,714.04K,-3.78%
2021/7/5,76.25,75.15,76.4,74.75,-,1.48%
2021/7/4,75.14,75.22,75.28,75,-,-0.03%
2021/7/2,75.16,75.02,75.62,74.41,377.53K,-0.09%
2021/7/1,75.23,73.5,76.22,73.39,615.68K,2.40%
2021/6/30,73.47,73.47,74.14,72.82,383.63K,0.67%
2021/6/29,72.98,72.78,73.81,71.97,321.45K,0.10%
2021/6/28,72.91,73.99,74.45,72.62,354.70K,-1.54%
2021/6/25,74.05,73.32,74.18,72.85,364.72K,1.02%
2021/6/24,73.3,73.28,73.61,72.32,334.83K,0.30%
2021/6/23,73.08,72.91,74.25,72.82,429.21K,0.03%
2021/6/22,73.06,73.41,73.95,72.94,29.00K,-0.81%
2021/6/21,73.66,71.52,73.96,71.15,123.66K,2.82%
